,delta_Fp,theta_Fp,alpha_Fp,beta_Fp,gamma_Fp,delta_F,theta_F,alpha_F,beta_F,gamma_F,delta_FC,theta_FC,alpha_FC,beta_FC,gamma_FC,delta_M,theta_M,alpha_M,beta_M,gamma_M,delta_P,theta_P,alpha_P,beta_P,gamma_P,delta_O,theta_O,alpha_O,beta_O,gamma_O,score
38,0.13388505686097005,0.12427110239289413,0.12867713054299373,0.42459213153204384,0.09914683922471566,0.18318317806300283,0.15675350947757458,0.13182451924244232,0.3976589355999217,0.062349282923503856,0.2362563231634098,0.20989760966124843,0.17489976117408473,0.2718735767168185,0.031860466985883996,0.12077952158749153,0.17847820193018543,0.18936236144004093,0.4193184087365427,0.06717314389743567,0.13035241525935487,0.16320442160333973,0.17680631923085502,0.39366612827701397,0.05993384192571612,0.07892713287842214,0.1305369171716091,0.19655088596378512,0.47955371406725794,0.06337883403380841,9.2
39,0.22969449471933337,0.1662774366788613,0.10249440548972773,0.36778947234760234,0.04870540202837658,0.28416390915779144,0.19932898878796537,0.11663357153721136,0.2731776151125124,0.031395451959630755,0.29832105795589636,0.19444964378217108,0.09885211915530392,0.2736401435575738,0.02819270444504343,0.22789675435802642,0.19826604497858896,0.15498962626507737,0.3176120866420894,0.03571022950671057,0.21559265994656318,0.17832059335655612,0.13478207241512558,0.3377210364819473,0.05744343893683823,0.14753642097527592,0.1331199254050582,0.1073153146677128,0.4573175091148525,0.11147427872012956,7.9
40,0.1056749362361711,0.129242184300465,0.12879154835716564,0.47426391919770544,0.0804482585765684,0.18108672128467837,0.1815024978564597,0.15801580057702153,0.3488509445693945,0.05906596072236657,0.20041986746642348,0.1996014523784821,0.13876322539510688,0.36013329435224595,0.03429368794314451,0.06374554495210355,0.15113668662764473,0.15532653342954156,0.5597647632588499,0.0553215727628251,0.13487003770801947,0.1626258639066092,0.15266893171030763,0.4358235762645991,0.036107797554056506,0.042594504861484556,0.13711909223580526,0.18860024737926787,0.5601318157652425,0.039067555697156434,10.6
41,0.37032394493911686,0.24955660596698206,0.06210477305737886,0.17782492634656685,0.019698608827063865,0.3915761816882437,0.24291484876058167,0.0832214041698788,0.1253148615611033,0.024332207692392572,0.40828912295846265,0.24900410231667092,0.07005105019414787,0.11042920735674101,0.02455319128016714,0.19102110463103217,0.1651751752751384,0.12708462871328718,0.3984827410465124,0.06812736874739808,0.23637952273899554,0.18454954381448935,0.1250582169787852,0.3148962171733568,0.05939041657738078,0.14063930123645876,0.1411323061920863,0.08754783389557705,0.43657873519719487,0.14064242465135712,6.1
42,0.15011399445655413,0.1534044262076474,0.1134203725149246,0.4008947031290517,0.0919709130077851,0.11124565250384547,0.1318410070228,0.1316077635702031,0.5003031282212478,0.0708249076077038,0.13393015844927417,0.14554410366587586,0.14584166051299752,0.43914544763845764,0.07344888788011844,0.08087219300929174,0.16266790471346704,0.19191828297136987,0.44405574757065436,0.09737307728317254,0.1655860300350581,0.15181623216376117,0.11541477261988428,0.40702369893745727,0.08658831313345755,0.10026817203848348,0.15992651804814548,0.1819696313390245,0.4599676168467566,0.07640356677220142,9.1
43,0.29507951271745986,0.1873284289709717,0.059324395312548746,0.3151018813689937,0.04993776855634949,0.34523302931179556,0.23711604434591926,0.06307051539357181,0.2131563963851443,0.03755207685005002,0.2849728873008736,0.20113167465289336,0.07085496345110973,0.2995786537464775,0.051915209863889755,0.326089367900107,0.23214324448371837,0.0603576498737608,0.24967450098953808,0.0390475983469326,0.15484883909984784,0.13052301893209617,0.09569739525146595,0.4612025057438135,0.09856686787543603,0.13324488305919757,0.13598606248172834,0.1315605981911582,0.47196447466284996,0.08507001005085241,5.9
44,0.23349228602368421,0.17487506192666039,0.13453106089190348,0.21138886842215712,0.06899000320938092,0.18881109282408493,0.13586870661961412,0.08181425866144434,0.1701374098797352,0.07054903901875911,0.18649664189772067,0.14197009846815684,0.09809721178023093,0.22579848238266917,0.05914119751082406,0.22862150392674238,0.2004194527396477,0.16262800043725778,0.26332454974860003,0.03619227453652275,0.20296130631825998,0.16350944248591642,0.12328222931225126,0.21745054687820495,0.05183462422322678,0.19919438216846158,0.20735969686217984,0.16313788482338926,0.23477897054821778,0.03927553290343088,9.6
45,0.31540385878804694,0.23019452271409768,0.09020702479353447,0.1738710872068974,0.04912844309744004,0.17620518943734673,0.12605869552122723,0.07269339250775465,0.17548679585849314,0.09438448722232654,0.18600389716265628,0.13155739033562677,0.0916307629200586,0.2353168475985473,0.07497580712444481,0.2042865215554734,0.20221172649200625,0.1597041836988457,0.27643446990401543,0.039011433662945905,0.24880226164654212,0.1822271915222793,0.07706183153089533,0.13317399226097268,0.05796687652240462,0.3075275580483526,0.24227970367774193,0.09374536701726624,0.16126609005969578,0.030733057212290575,7.4
46,0.13756003283482388,0.126272210768821,0.09568956936231691,0.41807385906349287,0.1257009139175119,0.1970582838896222,0.13002450067201426,0.0757878761052353,0.42751811534289763,0.10843621073970244,0.1968330753504399,0.1730274684303067,0.13372875230883136,0.36314338304075494,0.07733033659716057,0.11717344956200458,0.18876065030559797,0.19304643188142812,0.44121213622606903,0.04298692708354518,0.16380038223775267,0.16396310080712267,0.14325448534841323,0.3925758694881928,0.05854826355435046,0.16937213445980828,0.20653809397456782,0.1605348574844905,0.3614300697934807,0.049026753629771574,10.0
47,0.2799087590602777,0.17929773649192537,0.08155857382802272,0.3103605516604927,0.05227407191950212,0.3216474355804874,0.2070261464166243,0.09802898052037282,0.22518176574136647,0.04412290482358412,0.29135630667242196,0.207873972822136,0.10141290037625733,0.2615107829707012,0.038222397716301995,0.18486546936164355,0.14643923553683003,0.09946243166757188,0.458225408078615,0.05719858923840064,0.1941914721731445,0.16536469640426893,0.11895899612601335,0.39731302964835,0.060788309582827715,0.10010582187073366,0.11404939539120974,0.12919166845298538,0.48886974461271226,0.14089511457012072,7.7
