,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
162,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
163,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,10,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
169,0,1,0,2,2,3,0,2,6,2,0,1,0,0,0,0,0,0,0,0
170,0,5,3,2,1,0,1,8,4,0,0,0,0,0,0,0,0,0,0,0
171,2,0,0,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,1,0,0,0,0,0,3,0,0,3,3,1,0,0,0,0,0,0,0
178,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,1,0,0,6,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0
184,0,2,0,0,1,1,8,4,1,1,1,0,0,0,0,0,0,0,0,0
185,6,2,4,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0
186,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,16,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,1,1,2,1,0,1,0,0,6,6,1,0,0,0,0,0,0,0
189,7,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,1,0,2,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,4,2,1,0,0,1,1,0,0,0,2,0,1,1,0,0,1,0,0
193,1,0,0,1,1,0,0,0,0,4,1,1,0,2,0,0,0,0,0,0
194,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
195,6,3,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
196,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
197,12,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
198,7,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2,3,8,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
201,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
202,5,3,1,1,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
206,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
207,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
211,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
213,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,1,1,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0
